자치구,승하차,지하철역수,노인인구,경로당,노인시설,노인시설정원,총노인시설,인구대비시설,승하차대비시설,인구승하차대비시설,역수대비승하차,노인인프라구축현황,레이블
111273,15540698,18,93309,172,29,670,201,0.002154133,1.29E-05,0.001560844,863372.1111,1859.818392,0
111261,17425049,17,74959,167,32,215,199,0.002654785,1.14E-05,0.006935964,1025002.882,2721.161883,1
111274,11581597,22,69903,121,22,619,143,0.002045692,1.23E-05,0.016432291,526436.2273,1076.926319,0
111262,11696077,10,60072,141,14,322,155,0.002580237,1.33E-05,0.033632395,1169607.7,3017.86512,1
111311,12334867,14,85420,243,29,1008,272,0.003184266,2.21E-05,0.048317651,881061.9286,2805.535525,1
111212,8317204,9,88733,218,49,1042,267,0.003009027,3.21E-05,0.088852412,924133.7778,2780.743564,1
111231,6448615,12,60663,174,29,118,203,0.003346356,3.15E-05,0.150317556,537384.5833,1798.280178,0
111251,9236593,4,78430,114,30,435,144,0.001836032,1.56E-05,0.025094167,2309148.25,4239.670381,1
111161,6467009,9,73613,175,31,715,206,0.002798419,3.19E-05,0.116599536,718556.5556,2010.822143,0
111181,12361204,11,85010,154,40,1095,194,0.002282084,1.57E-05,0.019555055,1123745.818,2564.482869,1
111152,10266951,9,61612,134,21,224,155,0.002515744,1.51E-05,0.043186478,1140772.333,2869.890795,1
111151,5719284,9,69341,127,26,859,153,0.002206487,2.68E-05,0.098245387,635476,1402.169395,0
111221,8048800,10,69201,199,32,913,231,0.003338102,2.87E-05,0.109563138,804880,2686.771578,1
111123,22039837,12,28311,63,21,404,84,0.002967045,3.81E-06,0,1836653.083,5449.431634,1
111201,5881397,14,54002,154,17,284,171,0.003166549,2.91E-05,0.157934874,420099.7857,1330.266719,0
111241,10736494,13,64928,140,14,190,154,0.002371858,1.43E-05,0.033753047,825884.1538,1958.879985,0
111121,16276987,14,24174,48,8,74,56,0.002316538,3.44E-06,0.003010995,1162641.929,2693.304708,1
111171,5119901,6,62009,135,36,874,171,0.002757664,3.34E-05,0.158019288,853316.8333,2353.161291,0
111291,5709043,4,63313,100,26,503,126,0.001990113,2.21E-05,0.083691702,1427260.75,2840.409624,1
111141,9415599,9,50311,95,20,1247,115,0.002285782,1.22E-05,0.042299486,1046177.667,2391.334533,0
111301,4185988,5,65541,164,40,656,204,0.003112555,4.87E-05,0.238183272,837197.6,2605.823994,1
111191,4959137,5,53756,111,26,388,137,0.002548553,2.76E-05,0.148355668,991827.4,2527.724418,1
111142,7078565,13,45435,162,20,391,182,0.004005722,2.57E-05,0.168688856,544505,2181.135908,0
111131,6693008,10,39779,88,25,194,113,0.002840695,1.69E-05,0.113355002,669300.8,1901.279328,0
111281,916795,3,39314,73,24,678,97,0.002467314,0.000105803,1,305598.3333,754.0071815,0
